BSS Id,Receiver address,Type/Subtype,PHY type,MCS Index,Bandwidth,Short GI,Data rate,Channel,Frequency,Signal strength,Signal/noise ratio,Retry,TSF Timestamp
N/A,82:f8:6a:22:08:9f,Type/Subtype: Clear-to-send (0x001c),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-50 dBm,45 dB,0,1050593972
0c:67:14:92:8c:44,0c:67:14:92:8c:44,Type/Subtype: QoS Data (0x0028),PHY type: 802.11ax (HE) (11),N/A,N/A,False,960.8 Mbps,36,5180,-57 dBm,38 dB,0,1050594028
N/A,82:f8:6a:22:08:9f,Type/Subtype: 802.11 Block Ack (0x0019),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-50 dBm,45 dB,0,1050594099
N/A,0c:67:14:92:8c:44,Type/Subtype: Request-to-send (0x001b),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-55 dBm,40 dB,0,1050594217
N/A,82:f8:6a:22:08:9f,Type/Subtype: Clear-to-send (0x001c),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-49 dBm,46 dB,0,1050594261
N/A,82:f8:6a:22:08:9f,Type/Subtype: 802.11 Block Ack (0x0019),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-49 dBm,46 dB,0,1050594406
N/A,0c:67:14:92:8c:44,Type/Subtype: Request-to-send (0x001b),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-55 dBm,40 dB,0,1050600308
N/A,82:f8:6a:22:08:9f,Type/Subtype: Clear-to-send (0x001c),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-49 dBm,46 dB,0,1050600352
0c:67:14:92:8c:44,0c:67:14:92:8c:44,Type/Subtype: QoS Data (0x0028),PHY type: 802.11ax (HE) (11),N/A,N/A,False,960.8 Mbps,36,5180,-57 dBm,38 dB,0,1050600408
N/A,82:f8:6a:22:08:9f,Type/Subtype: 802.11 Block Ack (0x0019),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-49 dBm,46 dB,0,1050600492
N/A,0c:67:14:92:8c:44,Type/Subtype: Request-to-send (0x001b),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-55 dBm,40 dB,0,1050601278
N/A,82:f8:6a:22:08:9f,Type/Subtype: Clear-to-send (0x001c),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-49 dBm,46 dB,0,1050601322
